Product,"Products of agriculture, hunting and related services         ","Products of forestry, logging and related services         ",Fish and other fishing products; aquaculture products; support services to fishing     ,Coal and lignite             ,Extraction Of Crude Petroleum And Natural Gas ï¿½& Mining Of Metal Ores,Other mining and quarrying products           ,Mining support services             ,Preserved meat and meat products           ,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables       ",Vegetable and animal oils and fats          ,Dairy products              ,"Grain mill products, starches and starch products         ",Bakery and farinaceous products            ,Other food products             ,Prepared animal feeds             ,Alcoholic beverages & Tobacco products        ,Soft drinks              ,Textiles               ,Wearing apparel              ,Leather and related products            ,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Paper and paper products            ,Printing and recording services            ,Coke and refined petroleum products           ,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15      ",Petrochemicals - 20.14/16/17/60             ,"Dyestuffs, agro-chemicals - 20.12/20            ","Paints, varnishes and similar coatings, printing ink and mastics       ","Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations     ",Other chemical products             ,Basic pharmaceutical products and pharmaceutical preparations          ,Rubber and plastic products            ,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9   ","Cement, lime, plaster and articles of concrete, cement and plaster ",Basic iron and steel            ,Other basic metals and casting           ,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9   ",Weapons and ammunition             ,"Computer, electronic and optical products           ",Electrical equipment              ,Machinery and equipment n.e.c.            ,"Motor vehicles, trailers and semi-trailers           ",Ships and boats             ,Air and spacecraft and related machinery          ,Other transport equipment - 30.2/4/9           ,Furniture               ,Other manufactured goods             ,Repair and maintenance of ships and boats         ,Repair and maintenance of aircraft and spacecraft         ,Rest of repair; Installation - 33.11-14/17/19/20          ,"Electricity, transmission and distribution",Gas; distribution of gaseous fuels through mains; steam and air conditioning supply    ,Natural water; water treatment and supply services         ,Sewerage services; sewage sludge            ,"Waste collection, treatment and disposal services; materials recovery services       ",Remediation services and other waste management services         ,Construction,Wholesale and retail trade and repair services of motor vehicles and motorcycles    ,"Wholesale trade services, except of motor vehicles and motorcycles       ","Retail trade services, except of motor vehicles and motorcycles       ",Rail transport services             ,"Land transport services and transport services via pipelines, excluding rail transport     ",Water transport services             ,Air transport services             ,Warehousing and support services for transportation          ,Postal and courier services            ,Accommodation services              ,Food and beverage serving services           ,Publishing services              ,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Telecommunications services              ,"Computer programming, consultancy and related services          ",Information services              ,"Financial services, except insurance and pension funding         ","Insurance, reinsurance and pension funding services, except compulsory social security",Services auxiliary to financial services and insurance services        ,"Real estate services, excluding on a fee or contract basis and imputed rent   ",Owner-Occupiers' Housing Services,Real estate services on a fee or contract basis       ,Legal services              ,"Accounting, bookkeeping and auditing services; tax consulting services        ",Services of head offices; management consulting services         ,Architectural and engineering services; technical testing and analysis services       ,Scientific research and development services           ,Advertising and market research services           ,"Other professional, scientific and technical services          ",Veterinary services              ,Rental and leasing services            ,Employment services              ,"Travel agency, tour operator and other reservation services and related services     ",Security and investigation services            ,Services to buildings and landscape           ,"Office administrative, office support and other business support services       ",Public administration and defence services; compulsory social security services       ,Education services              ,Human health services             ,Residential Care  & Social Work Activities,"Creative, arts and entertainment services           ","Libraries, archives, museums and other cultural services         ",Gambling and betting services            ,Sports services and amusement and recreation services         ,Services furnished by membership organisations           ,Repair services of computers and personal and household goods       ,Other personal services             ,Services of households as employers of domestic personnel        ,"Waste collection, treatment and disposal services; materials recovery services non-market","Land transport services and transport services via pipelines, excluding rail transport non-market",Warehousing and support services for transportation non-market,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities non-market",Public administration and defence services; compulsory social security services non-market,Education services non-market,Human health services non-market,Residential Care & Social Work Activities non-market,"Creative, arts and entertainment services non-market","Libraries, archives, museums and other cultural services non-market",Sports services and amusement and recreation services non-market,Financial Services NPISH,Real Estate services NPISH,Legal services NPISH,Scientific research and development services NPISH,Veterinary services NPISH,Services to buildings and landscape NPISH,Education services NPISH,Human health services NPISH,Residential Care & Social Work Activities NPISH,"Creative, arts and entertainment services NPISH","Libraries, archives, museums and other cultural services NPISH",Sports services and amusement and recreation services NPISH,Services furnished by membership organisations NPISH
"Products of agriculture, hunting and related services         ",0.094,0.01,0,0,0,0,0,0.202,0.087,0.097,0.328,0.127,0.02,0.038,0.116,0.007,0.015,0,0,0.004,0,0,0,0,0,0,0,0,0.006,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0,0,0,0,0.009,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0
"Products of forestry, logging and related services         ",0,0.264,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish and other fishing products; aquaculture products; support services to fishing     ,0,0,0.02,0,0,0,0,0,0.048,0.001,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal and lignite             ,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extraction Of Crude Petroleum And Natural Gas & Mining Of Metal Ores,0,0,0,0,0.026,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0.118,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0.001,0,0,0.001,0,0.001,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other mining and quarrying products           ,0,0,0,0,0,0.105,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0.057,0.008,0,0.009,0,0.004,0.001,0,0.02,0.07,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0.019,0,0,0.001,0,0,0,0.001,0,0,0.009,0,0.001,0,0.001,0.001,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mining support services             ,0,0,0,0.001,0.131,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preserved meat and meat products           ,0,0.001,0,0,0,0,0,0.223,0.001,0.016,0.001,0.002,0.018,0.02,0.035,0.001,0.001,0,0,0.051,0,0,0,0,0,0,0,0,0.003,0.001,0,0,0.001,0,0.004,0,0,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0,0,0.01,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0.001,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0.002,0.003,0,0,0.007,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0
"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables       ",0.001,0,0,0,0,0,0.001,0.004,0.075,0.008,0.02,0.016,0.025,0.02,0.011,0.006,0.024,0,0,0,0,0,0,0,0.001,0,0,0,0.003,0.002,0,0,0.001,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.007,0.001,0.001,0.001,0.001,0.001,0.002,0.019,0.018,0,0.001,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0,0.001,0,0.005,0,0.003,0.003,0.002,0,0.001,0.001,0,0,0,0.001,0,0,0.001,0.001,0.002,0,0,0,0,0,0,0,0.003,0.002,0.002,0.001,0.005,0.001,0.002,0.002,0.001
Vegetable and animal oils and fats          ,0,0,0,0,0,0,0,0.005,0.007,0.003,0,0.004,0.008,0,0.022,0,0,0,0,0,0,0,0,0,0,0.001,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
Dairy products              ,0,0,0,0,0,0,0.001,0.002,0.006,0.018,0.09,0.003,0.027,0.018,0.002,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.004,0.001,0,0,0,0,0.001,0.005,0.004,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0.001,0,0.003,0,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.003,0,0.002,0,0.001
"Grain mill products, starches and starch products         ",0,0,0.002,0,0,0,0,0.019,0.009,0.016,0.003,0.076,0.068,0.007,0.148,0.025,0,0,0,0.002,0,0.005,0,0,0.001,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0
Bakery and farinaceous products            ,0,0,0,0,0,0,0.001,0.001,0,0,0,0.001,0.006,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.008,0.001,0,0,0,0,0.001,0.012,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0,0,0.001,0,0.005,0.001,0.003,0.001,0,0,0.002,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0,0,0,0.001,0.002,0.001,0,0.004,0.001,0.001,0,0
Other food products             ,0.001,0,0.002,0,0.001,0,0.001,0.02,0.037,0.011,0.015,0.051,0.058,0.089,0.023,0.01,0.175,0,0,0.001,0,0,0.001,0,0.001,0,0,0,0.014,0.004,0.001,0,0.003,0.007,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0.003,0.008,0.001,0.001,0.002,0.001,0,0.002,0.01,0.01,0,0.001,0.001,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.002,0,0.003,0.001,0.002,0.002,0,0,0.001,0,0.009,0.001,0.004,0.003,0.002,0.001,0.002,0.001,0,0,0,0,0.002,0,0.001,0.002,0.006,0,0,0,0,0,0,0,0.005,0.003,0.002,0.001,0.007,0.001,0.002,0.002,0.002
Prepared animal feeds             ,0.095,0,0.049,0,0,0,0,0.006,0,0.001,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0.004,0,0,0.006,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.002,0.007,0.002,0.01,0
Alcoholic beverages & Tobacco products        ,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.052,0.037,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0.001,0.001,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0.001,0.001,0,0.002,0.004
Soft drinks              ,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0.001,0.003,0.003,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0.001,0.002,0.001,0.003,0.006,0.002,0,0,0,0,0,0.001,0.002,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0,0.001,0.004,0.002,0.008,0.004
Textiles               ,0.003,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.105,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.004,0,0,0,0.017,0.005,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0.002,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.002,0,0,0,0.001,0.001,0.001,0.001,0,0.001,0,0.001,0,0
Wearing apparel              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0
Leather and related products            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0
"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",0.001,0,0,0.012,0,0.001,0,0.001,0,0,0.001,0,0,0,0,0,0.002,0,0,0,0.164,0.004,0,0,0,0.001,0,0.001,0,0,0,0,0,0.004,0,0,0.003,0.001,0.001,0.001,0.001,0.003,0.017,0.001,0,0.06,0.005,0.009,0,0.001,0,0,0,0,0,0,0.012,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0.001,0,0
Paper and paper products            ,0.013,0.001,0.002,0.001,0,0,0,0.018,0.026,0.015,0.013,0.069,0.026,0.028,0.014,0.025,0.022,0.004,0.006,0.012,0.009,0.02,0.102,0.001,0.003,0.002,0.009,0,0.023,0.015,0.006,0.014,0.016,0.008,0.001,0.001,0.004,0.001,0.003,0.007,0.002,0.001,0.001,0.001,0,0.01,0.014,0.001,0.001,0.002,0.001,0,0.002,0.003,0.001,0.003,0.002,0.002,0.003,0.002,0,0.002,0,0,0,0.001,0.002,0.002,0.021,0.001,0,0.002,0.001,0,0.003,0.003,0.001,0,0,0.002,0.001,0.001,0.002,0.002,0.008,0.001,0.001,0.001,0.002,0,0.001,0.005,0,0.007,0.002,0,0.003,0,0.001,0.001,0,0,0.002,0,0,0.003,0,0,0,0.004,0.001,0.005,0.002,0,0.005,0.008,0,0.003,0,0.002,0.005,0.008,0.004,0.001,0.004,0,0.002,0,0.001
Printing and recording services            ,0,0.003,0,0.001,0,0,0,0,0,0.002,0,0,0,0,0,0.001,0,0.001,0,0.001,0,0.007,0.079,0,0,0.001,0,0.001,0,0,0.001,0.001,0.001,0,0,0.001,0,0,0,0.001,0.001,0,0.001,0.001,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0.004,0.002,0.001,0,0,0,0,0.003,0,0,0.001,0.056,0.001,0.002,0.001,0.001,0.002,0.017,0.003,0.002,0,0,0.005,0,0.002,0,0.001,0.014,0.001,0,0,0.001,0.007,0.002,0.003,0,0.008,0,0,0.003,0,0.001,0,0.001,0.001,0.001,0,0,0.003,0,0.002,0.003,0.005,0.014,0.008,0.003,0.054,0.03,0.047,0,0.003,0,0,0.001,0.005,0.001,0.001,0.003,0,0.002,0,0.001
Coke and refined petroleum products           ,0.009,0.018,0.064,0.063,0.001,0.01,0.002,0.004,0.003,0.002,0.007,0.003,0.008,0.004,0.007,0.003,0.004,0.002,0.005,0.003,0.006,0.004,0.002,0.016,0.016,0.01,0.013,0.001,0.003,0.004,0.001,0,0.006,0.011,0.021,0.003,0.003,0.001,0.002,0.002,0.004,0.001,0.003,0.002,0,0.006,0.003,0.004,0.002,0.002,0.003,0.003,0.005,0.008,0.001,0.009,0.002,0.005,0.006,0.003,0.013,0.01,0.009,0.015,0,0.008,0.007,0.005,0,0.002,0.004,0.002,0.003,0.001,0.001,0,0,0,0.001,0.001,0.002,0.001,0.003,0.003,0.002,0.003,0.001,0.004,0.003,0.003,0.002,0.001,0,0.007,0.001,0,0.005,0.001,0.002,0.002,0.002,0.002,0.003,0.002,0,0.001,0,0.001,0.001,0.002,0.001,0.001,0,0,0.001,0.001,0,0,0,0.004,0.003,0.002,0.002,0,0.004,0.003,0.001,0.002,0.002
"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15      ",0.006,0.001,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.003,0.015,0.063,0.011,0.016,0.001,0.001,0.001,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0
Petrochemicals - 20.14/16/17/60             ,0,0.001,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0,0.01,0.003,0.011,0,0.004,0.021,0.069,0.009,0.033,0.001,0.005,0.001,0.048,0.025,0.011,0.007,0,0.001,0.001,0.001,0.02,0.001,0.011,0.007,0.002,0,0.008,0.005,0.005,0.001,0.001,0,0,0.002,0.002,0,0.003,0,0.001,0.001,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0
